CET,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity,Mean Humidity,Min Humidity,Max Sea Level PressurehPa,Mean Sea Level PressurehPa,Min Sea Level PressurehPa,Max VisibilityKm,Mean VisibilityKm,Min VisibilitykM,Max Wind SpeedKm/h,Mean Wind SpeedKm/h,Max Gust SpeedKm/h,Precipitationmm,CloudCover,Events,WindDirDegrees,MaxWindCat,MaxTemp_capped,Temp_Range,DewPoint_Range,Humidity_Range,Precipitation_Flag
1997-01-11,16.0,10.0,5.0,10.0,7.0,5.0,100.0,90.0,67.0,1024,1022,1021,10.0,6.0,0.0,11,2,43.98830576155163,0.0,3.0,Fog,344,10-20,16.0,11.0,5.0,33.0,0
1997-01-12,17.0,10.0,3.0,8.0,6.0,3.0,100.0,84.0,55.0,1024,1022,1020,10.0,10.0,10.0,14,8,43.98830576155163,0.0,1.0,Rain,345,10-20,17.0,14.0,5.0,45.0,0
1997-01-13,15.0,9.0,4.0,9.0,4.0,-1.0,100.0,75.0,38.0,1022,1021,1019,10.0,9.0,3.0,11,2,43.98830576155163,0.0,4.0,Fog,128,10-20,15.0,11.0,10.0,62.0,0
1997-01-14,11.0,6.0,0.0,4.0,2.0,0.0,100.0,81.0,50.0,1022,1020,1019,10.0,9.0,1.0,14,2,43.98830576155163,0.0,4.0,Rain,35,10-20,11.0,11.0,4.0,50.0,0
1997-01-15,11.0,8.0,5.0,7.0,5.0,4.0,100.0,83.0,62.0,1021,1019,1018,10.0,10.0,8.0,10,3,43.98830576155163,0.0,6.0,Rain,16,0-10,11.0,6.0,3.0,38.0,0
1997-01-16,12.0,9.0,6.0,8.0,7.0,6.0,100.0,89.0,72.0,1019,1017,1015,10.0,10.0,10.0,24,5,43.98830576155163,0.0,6.0,Rain,63,20-30,12.0,6.0,2.0,28.0,0
1997-01-17,13.0,9.0,5.0,9.0,5.0,1.0,100.0,78.0,47.0,1022,1018,1015,10.0,10.0,7.0,27,13,43.98830576155163,0.0,4.0,Rain,267,20-30,13.0,8.0,8.0,53.0,0
1997-01-18,6.0,3.0,2.0,6.0,4.0,2.0,100.0,98.0,93.0,1022,1019,1015,10.0,7.0,3.0,8,2,43.98830576155163,0.0,6.0,Rain,357,0-10,6.0,4.0,4.0,7.0,0
1997-01-19,9.0,7.0,6.0,7.0,6.0,5.0,100.0,97.0,87.0,1015,1011,1004,10.0,6.0,2.0,14,8,43.98830576155163,0.0,4.0,Rain,99,10-20,9.0,3.0,2.0,13.0,0
1997-01-20,9.0,7.0,5.0,9.0,7.0,5.0,100.0,100.0,100.0,1008,1005,1003,10.0,8.0,3.0,13,5,43.98830576155163,0.0,5.0,Rain,320,10-20,9.0,4.0,4.0,0.0,0
1997-01-21,10.0,8.0,6.0,7.0,6.0,5.0,100.0,89.0,71.0,1013,1011,1009,10.0,9.0,4.0,8,3,43.98830576155163,0.0,5.0,Rain,65,0-10,10.0,4.0,2.0,29.0,0
1997-01-22,13.0,8.0,3.0,8.0,5.0,3.0,100.0,85.0,58.0,1018,1016,1015,10.0,9.0,5.0,11,3,43.98830576155163,0.0,5.0,Rain,33,10-20,13.0,10.0,5.0,42.0,0
1997-01-23,12.0,10.0,9.0,10.0,9.0,9.0,100.0,96.0,82.0,1018,1014,1013,10.0,8.0,4.0,10,5,43.98830576155163,0.0,7.0,Rain,29,0-10,12.0,3.0,1.0,18.0,0
1997-01-24,13.0,10.0,7.0,9.0,8.0,7.0,100.0,90.0,67.0,1025,1021,1018,10.0,10.0,7.0,11,6,43.98830576155163,0.0,5.0,Rain,357,10-20,13.0,6.0,2.0,33.0,0
1997-01-25,12.0,9.0,7.0,9.0,7.0,6.0,100.0,89.0,76.0,1025,1024,1023,10.0,10.0,10.0,10,3,43.98830576155163,0.0,6.0,Rain,358,0-10,12.0,5.0,3.0,24.0,0
1997-01-26,14.0,9.0,5.0,8.0,6.0,5.0,100.0,83.0,55.0,1026,1025,1024,10.0,10.0,9.0,6,2,43.98830576155163,0.0,2.0,Rain,180,0-10,14.0,9.0,3.0,45.0,0
1997-01-27,15.0,8.0,2.0,8.0,6.0,2.0,100.0,84.0,55.0,1028,1027,1026,10.0,7.0,0.0,10,2,43.98830576155163,0.0,6.0,Fog,5,0-10,15.0,13.0,6.0,45.0,0
1997-01-28,14.0,10.0,6.0,7.0,4.0,2.0,93.0,74.0,48.0,1028,1027,1024,10.0,9.0,5.0,11,6,43.98830576155163,0.0,3.0,Rain,1,10-20,14.0,8.0,5.0,45.0,0
1997-01-29,11.0,8.0,5.0,7.0,6.0,4.0,100.0,83.0,67.0,1029,1027,1026,10.0,10.0,7.0,26,6,43.98830576155163,0.0,7.0,Rain,140,20-30,11.0,6.0,3.0,33.0,0
1997-01-30,15.0,11.0,8.0,8.0,7.0,5.0,100.0,80.0,59.0,1031,1030,1029,10.0,10.0,8.0,11,6,43.98830576155163,0.0,5.0,Rain,38,10-20,15.0,7.0,3.0,41.0,0
1997-01-31,14.0,9.0,4.0,9.0,7.0,4.0,100.0,87.0,67.0,1030,1029,1027,10.0,9.0,7.0,6,0,43.98830576155163,0.0,3.0,Rain,34,0-10,14.0,10.0,5.0,33.0,0
1997-02-01,12.0,9.0,6.0,9.0,7.0,6.0,100.0,95.0,77.0,1029,1028,1027,8.0,3.0,0.0,8,0,43.98830576155163,0.0,3.0,Fog,0,0-10,12.0,6.0,3.0,23.0,0
1997-02-02,13.0,9.0,5.0,9.0,7.0,5.0,100.0,93.0,72.0,1028,1026,1025,5.0,2.0,0.0,10,0,43.98830576155163,0.0,5.0,Fog-Rain,155,0-10,13.0,8.0,4.0,28.0,0
1997-02-03,13.0,10.0,7.0,9.0,6.0,1.0,100.0,76.0,47.0,1026,1025,1024,10.0,7.0,0.0,10,3,43.98830576155163,0.0,4.0,Fog-Rain,72,0-10,13.0,6.0,8.0,53.0,0
1997-02-04,12.0,6.0,0.0,3.0,2.0,0.0,100.0,71.0,51.0,1028,1027,1026,10.0,10.0,10.0,11,5,43.98830576155163,0.0,1.0,Rain,239,10-20,12.0,12.0,3.0,49.0,0
1997-02-05,14.0,7.0,1.0,5.0,3.0,1.0,100.0,79.0,48.0,1031,1029,1028,9.0,9.0,7.0,8,5,43.98830576155163,0.0,2.0,Rain,352,0-10,14.0,13.0,4.0,52.0,0
1997-02-06,16.0,8.0,1.0,6.0,4.0,1.0,100.0,79.0,48.0,1031,1029,1028,10.0,9.0,8.0,8,5,43.98830576155163,0.0,3.0,Rain,352,0-10,16.0,15.0,5.0,52.0,0
1997-02-07,15.0,8.0,2.0,6.0,4.0,2.0,100.0,78.0,51.0,1031,1029,1028,10.0,10.0,10.0,8,2,43.98830576155163,0.0,3.0,Rain,9,0-10,15.0,13.0,4.0,49.0,0
1997-02-08,15.0,8.0,2.0,5.0,1.0,-3.0,100.0,68.0,31.0,1033,1031,1030,10.0,10.0,10.0,10,2,43.98830576155163,0.0,6.0,Rain,180,0-10,15.0,13.0,8.0,69.0,0
1997-02-09,14.0,7.0,-1.0,5.0,2.0,-2.0,93.0,74.0,51.0,1033,1031,1030,10.0,10.0,10.0,10,3,43.98830576155163,0.0,1.0,Rain,359,0-10,14.0,15.0,7.0,42.0,0
1997-02-10,14.0,7.0,0.0,5.0,3.0,-1.0,100.0,76.0,51.0,1033,1031,1030,14.64407356948229,11.719856948228882,9.134877384196185,8,3,43.98830576155163,0.0,3.2060661764705882,Rain,284,0-10,14.0,14.0,6.0,49.0,0
1997-02-11,18.0,11.0,4.0,7.0,6.0,3.0,100.0,78.0,49.0,1033,1032,1030,10.0,8.0,6.0,11,3,43.98830576155163,0.0,2.0,Rain,32,10-20,18.0,14.0,4.0,51.0,0
1997-02-12,18.0,10.0,3.0,9.0,6.0,3.0,100.0,78.0,52.0,1033,1030,1027,10.0,8.0,0.0,29,10,43.98830576155163,0.0,1.0,Fog,306,20-30,18.0,15.0,6.0,48.0,0
1997-02-13,15.0,11.0,8.0,8.0,7.0,4.0,87.0,72.0,58.0,1030,1029,1027,10.0,10.0,10.0,21,14,43.98830576155163,0.0,3.0,Rain,250,20-30,15.0,7.0,4.0,29.0,0
1997-02-14,15.0,12.0,10.0,10.0,9.0,7.0,94.0,82.0,67.0,1027,1023,1020,10.0,10.0,10.0,35,19,53.0,0.0,4.0,Rain,252,30-40,15.0,5.0,3.0,27.0,0
1997-02-15,16.0,10.0,5.0,7.0,2.0,1.0,81.0,54.0,39.0,1026,1024,1021,10.0,10.0,10.0,29,14,47.0,0.0,2.0,Fog,268,20-30,16.0,11.0,6.0,42.0,0
1997-02-16,15.0,7.0,-1.0,5.0,3.0,-1.0,100.0,76.0,51.0,1025,1023,1022,10.0,10.0,10.0,14,3,43.98830576155163,0.0,2.0,Rain,214,10-20,15.0,16.0,6.0,49.0,0
1997-02-17,15.0,8.0,2.0,5.0,3.0,1.0,100.0,75.0,39.0,1029,1027,1025,10.0,10.0,10.0,14,5,43.98830576155163,0.0,1.0,Rain,190,10-20,15.0,13.0,4.0,61.0,0
1997-02-18,16.0,9.0,2.0,5.0,3.0,1.0,100.0,72.0,48.0,1035,1031,1029,10.0,10.0,10.0,11,3,43.98830576155163,0.0,2.0,Rain,15,10-20,16.0,14.0,4.0,52.0,0
1997-02-19,18.0,10.0,2.0,7.0,4.0,2.0,100.0,71.0,40.0,1035,1033,1030,14.64407356948229,11.719856948228882,9.134877384196185,11,3,43.98830576155163,0.0,3.2060661764705882,Rain,287,10-20,18.0,16.0,5.0,60.0,0
1997-02-20,19.0,10.0,2.0,7.0,5.0,2.0,100.0,72.0,43.0,1033,1031,1029,10.0,9.0,8.0,8,2,43.98830576155163,0.0,0.0,Rain,254,0-10,19.0,17.0,5.0,57.0,0
1997-02-21,20.0,12.0,4.0,8.0,6.0,4.0,100.0,72.0,40.0,1031,1029,1028,10.0,9.0,7.0,8,2,43.98830576155163,0.0,2.0,Rain,11,0-10,20.0,16.0,4.0,60.0,0
1997-02-22,19.0,12.0,6.0,8.0,7.0,6.0,100.0,77.0,46.0,1029,1027,1025,10.0,10.0,10.0,19,3,43.98830576155163,0.0,6.0,Rain,314,10-20,19.0,13.0,2.0,54.0,0
1997-02-23,17.0,12.0,7.0,12.0,8.0,5.0,100.0,79.0,52.0,1026,1023,1021,10.0,7.0,0.0,26,6,43.98830576155163,0.0,3.0,Fog-Rain,210,20-30,17.0,10.0,7.0,48.0,0
1997-02-24,15.0,9.0,4.0,8.0,6.0,4.0,100.0,80.0,55.0,1024,1022,1020,10.0,8.0,4.0,16,8,43.98830576155163,0.0,4.0,Rain,225,10-20,15.0,11.0,4.0,45.0,0
1997-02-25,15.0,12.0,9.0,10.0,8.0,6.0,94.0,79.0,63.0,1027,1025,1024,10.0,9.0,7.0,21,10,43.98830576155163,0.0,4.0,Rain,201,20-30,15.0,6.0,4.0,31.0,0
1997-02-26,18.0,11.0,4.0,8.0,5.0,3.0,100.0,76.0,42.0,1034,1030,1027,10.0,7.0,3.0,19,3,43.98830576155163,0.0,4.0,Rain,12,10-20,18.0,14.0,5.0,58.0,0
1997-02-27,22.0,13.0,5.0,4.0,1.0,-1.0,81.0,54.0,25.0,1036,1034,1032,10.0,10.0,10.0,14,3,43.98830576155163,0.0,1.0,Rain,74,10-20,22.0,17.0,5.0,56.0,0
1997-02-28,21.0,11.0,2.0,5.0,2.0,0.0,93.0,59.0,28.0,1035,1033,1031,14.64407356948229,11.719856948228882,9.134877384196185,10,3,43.98830576155163,0.0,3.2060661764705882,Rain,347,0-10,21.0,19.0,5.0,65.0,0
1997-03-01,21.0,12.0,4.0,6.0,4.0,3.0,93.0,65.0,33.0,1032,1030,1028,14.64407356948229,11.719856948228882,9.134877384196185,8,5,43.98830576155163,0.0,3.2060661764705882,Rain,339,0-10,21.0,17.0,3.0,60.0,0
1997-03-02,23.0,13.0,4.0,8.0,6.0,3.0,100.0,63.0,31.0,1033,1031,1029,14.64407356948229,11.719856948228882,9.134877384196185,11,3,43.98830576155163,0.0,3.2060661764705882,Rain,331,10-20,23.0,19.0,5.0,69.0,0
1997-03-03,23.0,14.0,5.0,8.0,4.0,2.0,87.0,58.0,29.0,1036,1034,1032,14.64407356948229,11.719856948228882,9.134877384196185,8,2,43.98830576155163,0.0,3.2060661764705882,Rain,359,0-10,23.0,18.0,6.0,58.0,0
1997-03-04,22.0,13.0,5.0,8.0,6.0,3.0,87.0,65.0,35.0,1034,1032,1030,10.0,10.0,10.0,10,2,43.98830576155163,0.0,4.0,Rain,359,0-10,22.0,17.0,5.0,52.0,0
1997-03-05,23.0,14.0,5.0,9.0,6.0,4.0,93.0,65.0,33.0,1033,1031,1029,10.0,10.0,10.0,8,2,43.98830576155163,0.0,4.0,Rain,349,0-10,23.0,18.0,5.0,60.0,0
1997-03-06,23.0,14.0,6.0,9.0,6.0,4.0,87.0,56.0,36.0,1032,1030,1028,14.64407356948229,11.719856948228882,9.134877384196185,10,3,43.98830576155163,0.0,3.2060661764705882,Rain,358,0-10,23.0,17.0,5.0,51.0,0
1997-03-07,22.0,13.0,5.0,6.0,5.0,3.0,93.0,59.0,35.0,1029,1026,1023,9.0,9.0,9.0,11,3,43.98830576155163,0.0,0.0,Rain,349,10-20,22.0,17.0,3.0,58.0,0
1997-03-08,20.0,12.0,5.0,8.0,5.0,2.0,93.0,63.0,40.0,1029,1027,1025,10.0,10.0,10.0,16,5,43.98830576155163,0.0,1.0,Rain,163,10-20,20.0,15.0,6.0,53.0,0
1997-03-09,19.0,11.0,3.0,6.0,3.0,-1.0,100.0,58.0,34.0,1031,1029,1026,14.64407356948229,11.719856948228882,9.134877384196185,13,6,43.98830576155163,0.0,3.2060661764705882,Rain,139,10-20,19.0,16.0,7.0,66.0,0
1997-03-10,20.0,10.0,1.0,4.0,1.0,-2.0,93.0,55.0,28.0,1031,1030,1028,14.64407356948229,11.719856948228882,9.134877384196185,11,5,43.98830576155163,0.0,3.2060661764705882,Rain,12,10-20,20.0,19.0,6.0,65.0,0
1997-03-11,22.0,11.0,1.0,6.0,2.0,0.0,93.0,57.0,28.0,1030,1029,1027,14.64407356948229,11.719856948228882,9.134877384196185,8,3,43.98830576155163,0.0,3.2060661764705882,Rain,336,0-10,22.0,21.0,6.0,65.0,0
1997-03-12,21.0,13.0,5.0,6.0,3.0,1.0,76.0,57.0,33.0,1034,1031,1030,14.64407356948229,11.719856948228882,9.134877384196185,11,6,43.98830576155163,0.0,3.2060661764705882,Rain,288,10-20,21.0,16.0,5.0,43.0,0
1997-03-13,23.0,13.0,3.0,8.0,4.0,1.0,93.0,65.0,29.0,1032,1030,1026,14.64407356948229,11.719856948228882,9.134877384196185,10,3,43.98830576155163,0.0,3.2060661764705882,Rain,353,0-10,23.0,20.0,7.0,64.0,0
1997-03-14,23.0,13.0,4.0,6.0,3.0,1.0,81.0,53.0,29.0,1027,1026,1024,14.64407356948229,11.719856948228882,9.134877384196185,23,6,43.98830576155163,0.0,3.2060661764705882,Rain,14,20-30,23.0,19.0,5.0,52.0,0
1997-03-15,21.0,14.0,8.0,9.0,6.0,2.0,71.0,56.0,46.0,1027,1025,1023,10.0,10.0,10.0,24,11,43.98830576155163,0.0,1.0,Rain,35,20-30,21.0,13.0,7.0,25.0,0
1997-03-16,22.0,13.0,5.0,8.0,6.0,4.0,93.0,61.0,35.0,1028,1026,1024,14.64407356948229,11.719856948228882,9.134877384196185,11,5,43.98830576155163,0.0,3.2060661764705882,Rain,318,10-20,22.0,17.0,4.0,58.0,0
1997-03-17,26.0,14.0,4.0,10.0,6.0,3.0,93.0,60.0,29.0,1027,1025,1023,10.0,10.0,10.0,10,5,43.98830576155163,0.0,1.0,Rain,2,0-10,26.0,22.0,7.0,64.0,0
1997-03-18,25.0,16.0,6.0,10.0,6.0,4.0,87.0,57.0,32.0,1024,1022,1019,10.0,10.0,10.0,10,2,43.98830576155163,0.0,2.0,Rain,323,0-10,25.0,19.0,6.0,55.0,0
1997-03-19,23.0,14.0,6.0,9.0,5.0,2.0,87.0,55.0,35.0,1021,1019,1016,14.64407356948229,11.719856948228882,9.134877384196185,14,3,43.98830576155163,0.0,3.2060661764705882,Rain,4,10-20,23.0,17.0,7.0,52.0,0
1997-03-20,23.0,13.0,4.0,8.0,4.0,2.0,87.0,57.0,33.0,1018,1016,1014,14.64407356948229,11.719856948228882,9.134877384196185,14,5,43.98830576155163,0.0,3.2060661764705882,Rain,284,10-20,23.0,19.0,6.0,54.0,0
1997-03-21,24.0,13.0,3.0,8.0,4.0,1.0,87.0,56.0,34.0,1018,1016,1014,14.64407356948229,11.719856948228882,9.134877384196185,14,3,43.98830576155163,0.0,3.2060661764705882,Rain,350,10-20,24.0,21.0,7.0,53.0,0
1997-03-22,23.0,14.0,5.0,7.0,2.0,-2.0,66.0,46.0,29.0,1019,1017,1015,14.64407356948229,11.719856948228882,9.134877384196185,23,6,43.98830576155163,0.0,3.2060661764705882,Rain,359,20-30,23.0,18.0,9.0,37.0,0
1997-03-23,22.0,13.0,5.0,9.0,4.0,1.0,76.0,55.0,37.0,1019,1017,1016,10.0,10.0,10.0,11,5,43.98830576155163,0.0,1.0,Rain,329,10-20,22.0,17.0,8.0,39.0,0
1997-03-24,23.0,13.0,4.0,8.0,4.0,1.0,81.0,55.0,33.0,1017,1014,1011,14.64407356948229,11.719856948228882,9.134877384196185,29,5,43.98830576155163,0.0,3.2060661764705882,Rain,347,20-30,23.0,19.0,7.0,48.0,0
1997-03-25,16.0,11.0,6.0,6.0,3.0,0.0,71.0,59.0,48.0,1018,1015,1013,10.0,10.0,10.0,37,23,55.0,0.0,2.0,Rain,39,30-40,16.0,10.0,6.0,23.0,0
1997-03-26,20.0,11.0,3.0,7.0,5.0,2.0,93.0,63.0,42.0,1022,1020,1018,14.64407356948229,11.719856948228882,9.134877384196185,14,8,43.98830576155163,0.0,3.2060661764705882,Rain,6,10-20,20.0,17.0,5.0,51.0,0
1997-03-27,21.0,12.0,4.0,7.0,5.0,3.0,93.0,61.0,38.0,1026,1024,1022,14.64407356948229,11.719856948228882,9.134877384196185,11,2,43.98830576155163,0.0,3.2060661764705882,Rain,305,10-20,21.0,17.0,4.0,55.0,0
1997-03-28,23.0,13.0,3.0,9.0,6.0,2.0,93.0,62.0,38.0,1023,1020,1015,10.0,10.0,10.0,27,5,43.98830576155163,0.0,2.0,Rain,40,20-30,23.0,20.0,7.0,55.0,0
1997-03-29,22.0,14.0,8.0,9.0,6.0,1.0,76.0,54.0,43.0,1018,1017,1015,10.0,10.0,10.0,21,6,43.98830576155163,0.0,1.0,Rain,43,20-30,22.0,14.0,8.0,33.0,0
1997-03-30,23.0,14.0,6.0,11.0,6.0,1.0,76.0,56.0,41.0,1019,1017,1015,10.0,10.0,10.0,10,2,43.98830576155163,0.0,1.0,Rain,277,0-10,23.0,17.0,10.0,35.0,0
1997-03-31,23.0,14.0,6.0,10.0,6.0,1.0,71.0,56.0,38.0,1020,1017,1016,10.0,10.0,10.0,8,2,43.98830576155163,0.0,1.0,Rain,189,0-10,23.0,17.0,9.0,33.0,0
1997-04-01,24.0,14.0,6.0,11.0,7.0,3.0,87.0,60.0,34.0,1019,1017,1015,10.0,10.0,10.0,8,5,43.98830576155163,0.0,1.0,Rain,83,0-10,24.0,18.0,8.0,53.0,0
1997-04-02,25.0,16.0,6.0,11.0,6.0,3.0,81.0,53.0,29.0,1017,1016,1013,10.0,10.0,10.0,0,0,43.98830576155163,0.0,2.0,Rain,-1,,25.0,19.0,8.0,52.0,0
1997-04-03,24.0,16.0,7.0,11.0,7.0,3.0,81.0,57.0,36.0,1019,1017,1016,10.0,10.0,10.0,19,2,43.98830576155163,0.0,3.0,Rain,4,10-20,24.0,17.0,8.0,45.0,0
1997-04-04,24.0,16.0,8.0,8.0,5.0,3.0,71.0,49.0,33.0,1023,1021,1019,10.0,10.0,10.0,29,14,43.98830576155163,0.0,1.0,Rain,33,20-30,24.0,16.0,5.0,38.0,0
1997-04-05,25.0,17.0,9.0,10.0,6.0,1.0,58.0,49.0,38.0,1022,1020,1016,14.64407356948229,11.719856948228882,9.134877384196185,26,8,43.98830576155163,0.0,3.2060661764705882,Rain,75,20-30,25.0,16.0,9.0,20.0,0
1997-04-06,23.0,14.0,7.0,8.0,7.0,4.0,81.0,55.0,38.0,1020,1017,1013,10.0,10.0,10.0,11,6,43.98830576155163,0.0,5.0,Rain,9,10-20,23.0,16.0,4.0,43.0,0
1997-04-07,21.0,16.0,12.0,13.0,9.0,6.0,94.0,72.0,43.0,1016,1015,1014,10.0,10.0,10.0,34,8,43.98830576155163,0.0,5.0,Rain,42,30-40,21.0,9.0,7.0,51.0,0
1997-04-08,17.0,13.0,11.0,12.0,10.0,6.0,100.0,80.0,63.0,1021,1018,1015,10.0,10.0,10.0,16,5,43.98830576155163,0.0,5.0,Rain,61,10-20,17.0,6.0,6.0,37.0,0
1997-04-09,18.0,14.0,10.0,8.0,6.0,5.0,77.0,62.0,49.0,1026,1023,1021,10.0,10.0,10.0,19,8,43.98830576155163,0.0,6.0,Rain,58,10-20,18.0,8.0,3.0,28.0,0
1997-04-10,18.0,14.0,10.0,8.0,7.0,5.0,82.0,63.0,52.0,1029,1027,1026,10.0,10.0,10.0,19,10,43.98830576155163,0.0,4.0,Rain,176,10-20,18.0,8.0,3.0,30.0,0
1997-04-11,23.0,13.0,4.0,8.0,4.0,-1.0,100.0,60.0,24.0,1029,1025,1020,10.0,9.0,8.0,19,3,43.98830576155163,0.0,1.0,Rain,294,10-20,23.0,19.0,9.0,76.0,0
1997-04-12,24.0,16.0,8.0,5.0,3.0,-2.0,58.0,40.0,29.0,1021,1018,1014,14.64407356948229,11.719856948228882,9.134877384196185,14,8,43.98830576155163,0.0,3.2060661764705882,Rain,16,10-20,24.0,16.0,7.0,29.0,0
1997-04-13,25.0,16.0,7.0,8.0,5.0,2.0,76.0,49.0,31.0,1018,1016,1014,10.0,10.0,10.0,14,8,43.98830576155163,0.0,1.0,Rain,349,10-20,25.0,18.0,6.0,45.0,0
1997-04-14,25.0,16.0,7.0,8.0,5.0,2.0,71.0,49.0,29.0,1018,1016,1015,10.0,10.0,10.0,10,3,43.98830576155163,0.0,1.0,Rain,47,0-10,25.0,18.0,6.0,42.0,0
1997-04-15,26.0,16.0,7.0,10.0,6.0,2.0,76.0,49.0,32.0,1020,1018,1017,10.0,10.0,10.0,11,3,43.98830576155163,0.0,2.0,Rain,223,10-20,26.0,19.0,8.0,44.0,0
1997-04-16,26.0,18.0,10.0,10.0,7.0,4.0,71.0,48.0,30.0,1018,1014,1010,10.0,10.0,10.0,32,6,50.0,0.0,6.0,Rain,218,30-40,26.0,16.0,6.0,41.0,0
1997-04-17,22.0,17.0,12.0,13.0,11.0,7.0,100.0,72.0,40.0,1011,1009,1006,10.0,10.0,4.0,26,10,45.0,0.0,6.0,Rain-Thunderstorm,252,20-30,22.0,10.0,6.0,60.0,0
1997-04-18,18.0,14.0,11.0,12.0,10.0,7.0,100.0,78.0,49.0,1010,1008,1006,10.0,10.0,8.0,27,6,43.98830576155163,0.0,6.0,Rain,232,20-30,18.0,7.0,5.0,51.0,0
1997-04-19,17.0,14.0,12.0,14.0,13.0,11.0,100.0,93.0,82.0,1008,1004,1002,10.0,8.0,4.0,21,14,43.98830576155163,0.0,6.0,Rain,207,20-30,17.0,5.0,3.0,18.0,0
1997-04-20,17.0,14.0,12.0,13.0,12.0,10.0,100.0,87.0,63.0,1003,999,997,10.0,8.0,4.0,14,8,43.98830576155163,0.0,6.0,Rain,123,10-20,17.0,5.0,3.0,37.0,0
1997-04-21,20.0,15.0,10.0,10.0,7.0,2.0,94.0,64.0,37.0,1005,1001,999,10.0,10.0,8.0,23,13,43.98830576155163,0.0,5.0,Rain,28,20-30,20.0,10.0,8.0,57.0,0
1997-04-22,21.0,13.0,7.0,6.0,2.0,-2.0,53.0,45.0,32.0,1009,1007,1005,10.0,10.0,10.0,14,10,43.98830576155163,0.0,3.0,Rain,28,10-20,21.0,14.0,8.0,21.0,0
1997-04-23,21.0,14.0,8.0,7.0,4.0,1.0,81.0,48.0,35.0,1019,1015,1011,10.0,10.0,10.0,26,6,43.98830576155163,0.0,2.0,Rain,216,20-30,21.0,13.0,6.0,46.0,0
1997-04-24,21.0,13.0,7.0,10.0,7.0,5.0,93.0,62.0,43.0,1022,1020,1019,10.0,9.0,5.0,19,10,43.98830576155163,0.0,3.0,Rain,257,10-20,21.0,14.0,5.0,50.0,0
1997-04-25,18.0,14.0,11.0,12.0,10.0,7.0,88.0,71.0,55.0,1023,1021,1020,10.0,10.0,10.0,10,3,43.98830576155163,0.0,5.0,Rain,203,0-10,18.0,7.0,5.0,33.0,0
1997-04-26,22.0,16.0,9.0,13.0,11.0,9.0,100.0,73.0,46.0,1023,1021,1019,10.0,9.0,2.0,23,6,42.0,0.0,4.0,Rain,240,20-30,22.0,13.0,4.0,54.0,0
